id,name,border
Angelic Blessing,6500,o
Armageddon,6520,o
Bargain,6510,o
Bee Sting,6633,o
Blaze,6600,o
Bloodcurdling Scream,6573,o
Breath of Life,6501,o
Chorus of Woe,6564,o
Coercion,6570,o
Cruel Edict,6561,o
Dakmor Plague,6571,o
Dark Offering,6569,o
Deep Wood,6631,o
Déjà Vu,6528,o
Earthquake,6609,o
Exhaustion,6549,o
Extinguish,6534,o
Eye Spy,6538,o
False Summoning,6533,o
Festival of Trokin,6504,o
Goblin Lore,6602,o
Goblin War Cry,6603,o
Goblin War Strike,6594,o
Hand of Death,6563,o
Harmony of Nature,6632,o
Hurricane,6640,o
Jagged Lightning,6601,o
Just Fate,6519,o
Kiss of Death,6572,o
Lava Axe,6591,o
Mind Rot,6562,o
Monstrous Growth,6621,o
Mystic Denial,6542,o
Natural Spring,6624,o
Nature's Lore,6623,o
Path of Peace,6502,o
Piracy,6550,o
Rain of Daggers,6580,o
Raise Dead,6560,o
Rally the Troops,6511,o
Relentless Assault,6608,o
Remove,6541,o
Renewing Touch,6629,o
Return of the Nightstalkers,6578,o
Righteous Charge,6503,o
Righteous Fury,6518,o
Salvage,6622,o
Sleight of Hand,6529,o
Spitting Earth,6589,o
Stone Rain,6590,o
Temporal Manipulation,6548,o
Theft of Dreams,6543,o
Tidal Surge,6531,o
Time Ebb,6532,o
Touch of Brilliance,6527,o
Tremor,6592,o
Undo,6540,o
Untamed Wilds,6630,o
Vengeance,6513,o
Volcanic Hammer,6593,o
Warrior's Stand,6512,o
Wildfire,6610,o
Wind Sail,6530,o
Three Dreams,423438,c
Cancel,423440,c
Concentrate,423441,c
See Beyond,423450,c
Assassinate,423455,c
Arc Trail,423464,c
Erratic Explosion,423466,c
Fiery Conclusion,423467,c
Fiery Fall,423468,c
Fling,423469,c
Hellion Eruption,423470,c
Mark of Mutiny,423472,c
Mass Mutiny,423473,c
Rivals' Duel,423476,c
Beast Within,423482,c
Cultivate,423487,c
Overrun,423497,c
Bituminous Blast,423508,c
Deny Reality,423510,c
Last Stand,423525,c
Three Dreams,275260,m
Cancel,271172,m
Concentrate,271220,m
See Beyond,271154,m
Assassinate,271218,m
Arc Trail,275254,m
Erratic Explosion,271191,m
Fiery Conclusion,275259,m
Fiery Fall,271138,m
Fling,271225,m
Hellion Eruption,271158,m
Mark of Mutiny,271135,m
Mass Mutiny,270743,m
Rivals' Duel,271200,m
Beast Within,275255,m
Cultivate,271193,m
Overrun,271201,m
Bituminous Blast,271166,m
Deny Reality,271168,m
Last Stand,271164,m
Akroma's Vengeance,205366,m
Congregate,205387,m
Orim's Thunder,205385,m
Fabricate,205348,m
Keep Watch,205346,m
Thirst for Knowledge,205311,m
Beacon of Unrest,205418,m
Beseech the Queen,205399,m
Consume Spirit,205347,m
Cruel Revival,205367,m
Dark Ritual,205422,m
Hideous End,205341,m
Incremental Blight,205400,m
Innocent Blood,205364,m
Profane Command,205397,m
Syphon Mind,205374,m
Syphon Soul,205375,m
Arc Lightning,205386,m
Blaze,205264,m
Browbeat,205416,m
Cone of Flame,205266,m
Goblin Offensive,205388,m
Insurrection,205369,m
Pyrotechnics,205405,m
Reckless Charge,205365,m
Relentless Assault,205271,m
Rolling Thunder,205391,m
Beast Hunt,205340,m
Explosive Vegetation,205368,m
Rampant Growth,205350,m
Search for Tomorrow,205408,m
Tribal Unity,205376,m
Branching Bolt,205320,m
Captain's Maneuver,205382,m
Hull Breach,205413,m
Lightning Helix,205361,m
Savage Twister,205355,m
Double Cleave,205379,m
Order,205384,m
Chaos,205384,m
Ancestral Recall,382841,m
Time Walk,383131,m
Timetwister,383132,m
Afterlife,382838,m
Akroma's Blessing,382840,m
Armageddon,382847,m
Balance,382853,m
Battle Screech,382859,m
Breath of Life,382872,m
Council's Judgment,382896,m
Decree of Justice,382911,m
Exile,382928,m
Gilded Light,382955,m
Radiant's Judgment,383059,m
Renewed Faith,383066,m
Shelter,383089,m
Swords to Plowshares,383119,m
Winds of Rath,383153,m
Brain Freeze,382870,m
Brainstorm,382871,m
Choking Tethers,382887,m
Circular Logic,382888,m
Counterspell,382897,m
Deep Analysis,382912,m
Fact or Fiction,382930,m
Flusterstorm,382942,m
Force of Will,382943,m
Frantic Search,382945,m
Gush,382971,m
High Tide,382974,m
Mana Drain,383006,m
Mind's Desire,383014,m
Obsessive Search,383036,m
Plea for Power,383050,m
Power Sink,383051,m
Repel,383067,m
Rescind,383068,m
Stroke of Genius,383114,m
Temporal Fissure,383124,m
Turnabout,383140,m
Upheaval,383143,m
Addle,382836,m
Cabal Ritual,382877,m
Chainer's Edict,382881,m
Choking Sands,382886,m
Cruel Bargain,382901,m
Dark Ritual,382906,m
Demonic Tutor,382914,m
Expunge,382929,m
Famine,382933,m
Hymn to Tourach,382976,m
Living Death,383001,m
Nature's Ruin,383027,m
Reanimate,383061,m
Reign of the Pit,383065,m
Tendrils of Agony,383125,m
Tyrant's Choice,383141,m
Urborg Uprising,383144,m
Vampiric Tutor,383145,m
Yawgmoth's Will,383158,m
Aftershock,382839,m
Burning of Xinye,382875,m
Burning Wish,382876,m
Chain Lightning,382880,m
Chaos Warp,382883,m
Falter,382932,m
Fireblast,382935,m
Gamble,382949,m
Kaervek's Torch,382982,m
Kindle,382989,m
Reckless Charge,383062,m
Rites of Initiation,383071,m
Solar Blast,383102,m
Spark Spray,383105,m
Starstorm,383111,m
Wheel of Fortune,383151,m
Berserk,382865,m
Channel,382882,m
Claws of Wirewood,382890,m
Desert Twister,382916,m
Eureka,382927,m
Grizzly Fate,382970,m
Nature's Lore,383026,m
Nostalgic Dreams,383033,m
Provoke,383055,m
Regrowth,383064,m
Roar of the Wurm,383072,m
Sudden Strength,383116,m
Tangle,383123,m
Tribute to the Wild,383137,m
Aether Mutation,382837,m
Death Grasp,382908,m
Prophetic Bolt,383054,m
Reviving Vapors,383069,m
Angel's Grace,370545,m
Blinding Beam,370431,m
Cenn's Enlistment,370373,m
Gleam of Resistance,370371,m
Path to Exile,370408,m
Stir the Pride,370507,m
Test of Faith,370554,m
Careful Consideration,370531,m
Cryptic Command,370439,m
Echoing Truth,370394,m
Erratic Mutation,370575,m
Gifts Ungiven,370368,m
Logic Knot,370529,m
Pact of Negation,370354,m
Perilous Research,370487,m
Spell Snare,370447,m
Thirst for Knowledge,370525,m
Traumatic Visions,370369,m
Absorb Vis,370360,m
Death Cloud,370381,m
Death Rattle,370477,m
Drag Down,370391,m
Extirpate,370384,m
Phthisis,370383,m
Raven's Crime,370478,m
Slaughter Pact,370457,m
Syphon Life,370474,m
Brute Force,370454,m
Dragonstorm,370537,m
Empty the Warrens,370480,m
Fiery Fall,370367,m
Fury Charm,370465,m
Grapeshot,370472,m
Molten Disaster,370437,m
Rift Bolt,370469,m
Shrapnel Blast,370573,m
Sudden Shock,370388,m
Tribal Flames,370362,m
Echoing Courage,370393,m
Incremental Growth,370541,m
